iter	Logloss
0	0.6576210881
1	0.6284028903
2	0.6048513819
3	0.5861460024
4	0.5715120624
5	0.559267299
6	0.5491813255
7	0.5412788825
8	0.5346853695
9	0.5293036489
10	0.5249427599
11	0.5214038202
12	0.5183460556
13	0.5157894509
14	0.5135514945
15	0.5116305267
16	0.5100343202
17	0.5087516852
18	0.5075469171
19	0.5065759036
20	0.5055980214
21	0.5048271713
22	0.5041464632
23	0.5035881024
24	0.5029979665
25	0.5024873129
26	0.5021244555
27	0.5016917743
28	0.5013716046
29	0.5010545499
30	0.5007577708
31	0.5004923244
32	0.5001901555
33	0.499954891
34	0.4996801752
35	0.4994516581
36	0.4992452341
37	0.4990227468
38	0.4988251662
39	0.498622865
40	0.4984362697
41	0.4982349196
42	0.4980768286
43	0.4978945956
44	0.4976810396
45	0.4975338983
46	0.4973921096
47	0.4972264921
48	0.4970170417
49	0.4968989939
50	0.4967482125
51	0.4966150885
52	0.4964464169
53	0.4962714127
54	0.4961558057
55	0.4960545568
56	0.4959620837
57	0.4958476831
58	0.4957115118
59	0.4955682944
60	0.4954547667
61	0.4953648864
62	0.4952566767
63	0.4951334393
64	0.4950254467
65	0.4949313446
66	0.4947839311
67	0.4946616519
68	0.4945696439
69	0.4944787282
70	0.4943834751
71	0.494283838
72	0.4941812616
73	0.4941039406
74	0.4939633955
75	0.4938629989
76	0.4937933054
77	0.4937016947
78	0.4936378368
79	0.4935584852
80	0.4934651162
81	0.4933952939
82	0.493315329
83	0.4932129716
84	0.4931497247
85	0.493079496
86	0.4930049789
87	0.4929280392
88	0.4928588477
89	0.4927961507
90	0.4927158214
91	0.4926409023
92	0.4925701603
93	0.4925122907
94	0.4924598817
95	0.4923887785
96	0.4922906081
97	0.4922237509
98	0.4921084191
99	0.4920427095
100	0.4919649747
101	0.4919120433
102	0.4918699264
103	0.491783221
104	0.4917121908
105	0.4916219082
106	0.4915804317
107	0.4915096923
108	0.4914503213
109	0.4913949626
110	0.4913423365
111	0.491221914
112	0.4911453382
113	0.4910839535
114	0.4910265205
115	0.4909591239
116	0.4909016534
117	0.4908460038
118	0.4907932442
119	0.4907020801
120	0.4906301727
121	0.4905670785
122	0.4905019998
123	0.4904399628
124	0.4903717057
125	0.4903125398
126	0.4902273133
127	0.49016773
128	0.4900867891
129	0.4900134379
130	0.4899319297
131	0.4898588473
132	0.489798619
133	0.4897078187
134	0.4896296171
135	0.489552523
136	0.489502532
137	0.4894523965
138	0.4893388016
139	0.4892641294
140	0.4891711515
141	0.4890955386
142	0.4890366197
143	0.4889318832
144	0.4888425286
145	0.4887625645
146	0.488686443
147	0.4886213473
148	0.4885567612
149	0.4884871623
150	0.4884107429
151	0.4883422556
152	0.4882775348
153	0.4882047444
154	0.488132821
155	0.4880683473
156	0.4879890291
157	0.4878960248
158	0.4878420482
159	0.4877666172
160	0.4877112663
161	0.4876445216
162	0.4875680161
163	0.4875008278
164	0.4874211378
165	0.4873678237
166	0.4872988934
167	0.4872399251
168	0.4871780088
169	0.4871056025
170	0.4870168807
171	0.4869364975
172	0.4868558307
173	0.4867919013
174	0.486716916
175	0.4866549343
176	0.4866015545
177	0.4865479455
178	0.4864688375
179	0.4864048096
180	0.4863475698
181	0.4862779959
182	0.4862134991
183	0.4861377896
184	0.4860597342
185	0.4859917126
186	0.4859310709
187	0.4858790417
188	0.4858224257
189	0.4857674576
190	0.485720485
191	0.4856620936
192	0.4856087127
193	0.485548472
194	0.4854881516
195	0.4854268513
196	0.4853703257
197	0.4853070824
198	0.4852476966
199	0.485174459
200	0.4851229749
201	0.4850572306
202	0.4850007577
203	0.4849460122
204	0.4848875764
205	0.484826937
206	0.4847687264
207	0.4847069186
208	0.4846376291
209	0.4845924303
210	0.4845285786
211	0.4844723245
212	0.4844207973
213	0.4843528457
214	0.4842871423
215	0.4842341933
216	0.484179997
217	0.4841039402
